name,address,city,postal_code,state,phone,website,email,price_range,service_area,business_size,years_in_business,services,description,specializations,rating,reviews_count,certifications,kfw_eligible,source,additional_info,project_types
Dachdecker Meister Schulz,Dachstraße 9,Frankfurt,04109,Hesse,+49 341 99900011,https://www.dachdecker-schulz-leipzig.de,dach@schulz-leipzig.de,"€15,000 - €80,000","Leipzig, Halle",Medium,14,"Roof Renovation, Roof Repair, Solar Panel Installation, Gutter Installation",Expert roofing contractor specializing in roof renovations and solar panel installations.,"Roof renovation, Solar panel mounting, Gutter systems, Roof insulation",4.7,112,"Master Roofer License, Solar Installer Certification",true,Local Contractor Association,Free roof inspection. Emergency repair service.,"roofing,solar"
Isolierung & Dämmung Becker,Dämmstraße 3,Frankfurt,28195,Hesse,+49 421 44455566,https://www.isolierung-becker-bremen.de,info@isolierung-becker.de,"€8,000 - €45,000","Bremen, Bremerhaven",Small,13,"Insulation, Thermal Insulation, Soundproofing, Moisture Protection",Specialized insulation contractor for energy-efficient building improvements.,"Wall insulation, Roof insulation, Soundproofing, Moisture protection",4.8,134,"Energy Consultant, Insulation Specialist",true,Energy Agency Referral,KfW funding assistance available. Free energy consultation.,"insulation,energy-modernization"
Trockenbau & Akustik Zimmermann,Trockenstraße 11,Frankfurt,68159,Hesse,+49 621 77788899,https://www.trockenbau-zimmermann-mannheim.de,trockenbau@zimmermann-mannheim.de,"€4,000 - €30,000","Mannheim, Heidelberg, Karlsruhe",Medium,8,"Drywall Construction, Ceiling Installation, Soundproofing, Room Partitioning",Drywall and acoustic solutions for residential and commercial projects.,"Room partitioning, Suspended ceilings, Soundproofing, Fire-resistant construction",4.5,78,"Drywall Specialist, Acoustic Consultant",false,Online Search,Free consultation for room design.,"drywall,acoustics"
Schlüsseldienst & Sicherheitstechnik Wolf,Sicherheitsstraße 6,Frankfurt,65183,Hesse,+49 611 33344455,https://www.schluessel-wolf-wiesbaden.de,service@schluessel-wolf.de,"€2,000 - €15,000","Wiesbaden, Mainz, Darmstadt",Small,4,"Lock Installation, Security Systems, Door Installation, Access Control",Locksmith and security technology specialist for residential and commercial properties.,"High-security locks, Access control systems, Door installation, Emergency lockout service",4.2,35,"Certified Locksmith, Security Systems Installer",false,Emergency Service,24/7 emergency service. Free security consultation.,"security,locks"
Fenster & Türen Groß,Fensterstraße 20,Frankfurt,44135,Hesse,+49 231 66677788,https://www.fenster-gross-dortmund.de,info@fenster-gross.de,"€12,000 - €70,000","Dortmund, Bochum, Gelsenkirchen",Large,18,"Window Installation, Door Installation, Energy-Efficient Windows, Window Repair",Leading window and door installer in the Ruhr area. Specializes in energy-efficient solutions.,"Energy-efficient windows, Entrance doors, Patio doors, Window renovation",4.7,189,"Window Installer Master, Energy Consultant",true,Showroom,Large showroom with window and door displays. Free home consultation.,"windows,doors,energy-modernization"
Bad & Wellness Design,Wellnessstraße 15,Frankfurt,79098,Hesse,+49 761 22233344,https://www.bad-wellness-freiburg.de,design@bad-wellness-freiburg.de,"€25,000 - €120,000","Freiburg, Basel (CH), Mulhouse (FR)",Medium,16,"Bathroom Design, Luxury Bathroom Installation, Sauna Installation, Wellness Rooms",Premium bathroom and wellness design company. Creates spa-like bathroom experiences.,"Luxury bathrooms, Sauna installation, Wellness rooms, Barrier-free bathrooms",4.9,167,"Bathroom Designer, Wellness Specialist",false,Interior Design Magazine,Showroom with luxury bathroom displays. Design consultation included.,"bathroom,wellness"
Haustechnik & Sanitär Richter,Technikstraße 4,Frankfurt,48143,Hesse,+49 251 88899900,https://www.haustechnik-richter-muenster.de,technik@richter-muenster.de,"€10,000 - €60,000","Münster, Osnabrück",Medium,19,"HVAC Installation, Plumbing, Bathroom Installation, Heating Systems","Comprehensive home technology services including heating, plumbing, and ventilation.","Heat pump installation, Underfloor heating, Ventilation systems, Smart home integration",4.6,145,"HVAC Master, Energy Consultant, Smart Home Specialist",true,Local Trade Association,Free energy consultation. Smart home integration available.,"heating,plumbing,hvac,bathroom"
Fassaden & Putz Meister,Fassadenstraße 13,Frankfurt,86150,Hesse,+49 821 11122233,https://www.fassaden-putz-augsburg.de,fassade@meister-augsburg.de,"€12,000 - €65,000","Augsburg, Ulm, Ingolstadt",Small,12,"Facade Renovation, Plastering, Exterior Insulation, Render Application",Specialized facade renovation and plastering contractor.,"Facade insulation, Render systems, Decorative plaster, Color design",4.5,91,"Facade Specialist, Plasterer Master",true,City Renovation Program,Free facade consultation. Color design service.,"facade,plastering,insulation"
Treppen & Geländer Bauer,Treppenstraße 8,Frankfurt,24103,Hesse,+49 431 44455566,https://www.treppen-bauer-kiel.de,treppen@bauer-kiel.de,"€8,000 - €50,000","Kiel, Lübeck, Flensburg",Small,10,"Stair Construction, Railing Installation, Stair Renovation, Custom Metalwork",Custom stair and railing specialist for residential and commercial projects.,"Custom stairs, Glass railings, Metal railings, Stair renovation",4.4,63,"Stair Builder Master, Metalworker",false,Architect Referral,Free design consultation. 3D visualization available.,"stairs,railings,metalwork"
Klima & Lüftungstechnik Neumann,Klimastraße 2,Frankfurt,09111,Hesse,+49 371 77788899,https://www.klima-neumann-chemnitz.de,klima@neumann-chemnitz.de,"€6,000 - €40,000","Chemnitz, Zwickau, Plauen",Medium,7,"Air Conditioning, Ventilation Systems, Heat Recovery, Climate Control",HVAC specialist focusing on energy-efficient climate control and ventilation solutions.,"Heat recovery ventilation, Air conditioning, Climate control systems, Indoor air quality",4.5,58,"HVAC Specialist, Energy Consultant",true,Energy Agency,Free indoor climate consultation.,"hvac,ventilation,climate-control"
Glaserei & Spiegel Meister,Glasstraße 19,Frankfurt,52062,Hesse,+49 241 33344455,https://www.glaserei-aachen.de,glas@meister-aachen.de,"€2,000 - €20,000","Aachen, Heerlen (NL), Maastricht (NL)",Small,6,"Glass Installation, Mirror Installation, Glass Doors, Shower Enclosures",Glass and mirror specialist for residential and commercial applications.,"Shower enclosures, Glass partitions, Mirror walls, Glass doors",4.3,47,Glazier Master,false,Local Business,Free consultation. Custom glass cutting available.,"glass,mirrors,shower-enclosures"
Rollladen & Sonnenschutz Schmidt,Sonnenschutzstraße 10,Frankfurt,39104,Hesse,+49 391 66677788,https://www.rollladen-schmidt-magdeburg.de,rollladen@schmidt-magdeburg.de,"€3,000 - €25,000","Magdeburg, Halle, Dessau",Small,9,"Roller Shutters, Awnings, Blinds, Sun Protection Systems",Sun protection and roller shutter specialist for energy efficiency and comfort.,"Roller shutters, Awnings, Blinds, Smart sun protection",4.4,72,Sun Protection Specialist,true,Window Company Referral,Free home consultation. Smart control systems available.,"sun-protection,roller-shutters"
Kamin & Ofenbau Hoffmann,Kaminstraße 5,Frankfurt,23552,Hesse,+49 451 22233344,https://www.kamin-hoffmann-luebeck.de,kamin@hoffmann-luebeck.de,"€5,000 - €35,000","Lübeck, Hamburg, Kiel",Small,11,"Fireplace Installation, Stove Installation, Chimney Construction, Fireplace Renovation",Fireplace and stove specialist for cozy home heating solutions.,"Wood-burning stoves, Fireplaces, Chimney construction, Pellet stoves",4.6,84,"Chimney Sweep License, Stove Installer",false,Showroom,Showroom with fireplace and stove displays.,"fireplaces,stoves,heating"
Beton & Estrich Müller,Betonstraße 16,Frankfurt,56068,Hesse,+49 261 88899900,https://www.beton-mueller-koblenz.de,beton@mueller-koblenz.de,"€4,000 - €30,000","Koblenz, Trier, Mainz",Small,8,"Concrete Work, Screed Installation, Floor Leveling, Foundation Work",Concrete and screed specialist for floors and foundations.,"Screed installation, Floor leveling, Concrete foundations, Underfloor heating screed",4.3,55,"Concrete Specialist, Screed Installer",false,Construction Company Referral,Free floor assessment.,"concrete,screed,flooring"
Schornstein & Abgasleitung Weber,Schornsteinstraße 7,Frankfurt,18055,Hesse,+49 381 11122233,https://www.schornstein-weber-rostock.de,schornstein@weber-rostock.de,"€6,000 - €40,000","Rostock, Schwerin, Stralsund",Small,7,"Chimney Construction, Flue Installation, Chimney Renovation, Exhaust Systems",Chimney and flue specialist for heating systems and fireplaces.,"Chimney construction, Flue installation, Chimney renovation, Exhaust systems",4.4,49,"Chimney Builder Master, Chimney Sweep License",false,Heating Company Referral,Free chimney inspection.,"chimneys,heating"
Garagentor & Tore Braun,Torstraße 12,Frankfurt,99084,Hesse,+49 361 44455566,https://www.garagentor-braun-erfurt.de,tore@braun-erfurt.de,"€3,000 - €20,000","Erfurt, Weimar, Jena",Small,5,"Garage Door Installation, Gate Installation, Door Automation, Gate Repair",Garage door and gate specialist with automation solutions.,"Garage doors, Electric gates, Gate automation, Gate repair",4.2,38,"Gate Installer, Automation Specialist",false,Local Advertisement,Free consultation. Smart gate control available.,"garage-doors,gates,automation"
Entrümpelung & Entsorgung Fischer,Entsorgungstraße 21,Frankfurt,34117,Hesse,+49 561 77788899,https://www.entruempelung-fischer-kassel.de,entsorgung@fischer-kassel.de,"€1,000 - €10,000","Kassel, Göttingen, Fulda",Small,4,"Junk Removal, Demolition, Waste Disposal, Property Cleanup",Professional junk removal and disposal service for renovation projects.,"Junk removal, Demolition, Waste disposal, Property cleanup",4.1,29,Waste Management License,false,Online Search,Eco-friendly disposal. Same-day service available.,"demolition,waste-removal"
Bewässerung & Brunnenbau Schneider,Brunnenstraße 14,Frankfurt,93047,Hesse,+49 941 33344455,https://www.bewässerung-schneider-regensburg.de,brunnen@schneider-regensburg.de,"€4,000 - €25,000","Regensburg, Passau, Straubing",Small,6,"Irrigation Systems, Well Construction, Water Supply, Garden Watering",Irrigation and well construction specialist for gardens and properties.,"Irrigation systems, Well construction, Water supply, Garden automation",4.3,41,"Well Builder License, Irrigation Specialist",false,Garden Center,Free irrigation consultation.,"irrigation,wells,landscaping"
Zaun & Gartentor Wagner,Zaunstraße 6,Frankfurt,58095,Hesse,+49 2331 66677788,https://www.zaun-wagner-hagen.de,zaun@wagner-hagen.de,"€2,000 - €15,000","Hagen, Wuppertal, Iserlohn",Small,8,"Fence Installation, Garden Gate Installation, Fence Repair, Gate Automation",Fence and gate specialist for residential properties.,"Wooden fences, Metal fences, Garden gates, Gate automation",4.2,33,Fence Installer,false,Local Business Directory,Free fence consultation. Various materials available.,"fences,gates,landscaping"
Schwimmbad & Poolbau Klein,Poolstraße 11,Frankfurt,97070,Hesse,+49 931 22233344,https://www.pool-klein-wuerzburg.de,pool@klein-wuerzburg.de,"€30,000 - €150,000","Würzburg, Bamberg, Schweinfurt",Medium,14,"Pool Construction, Pool Renovation, Pool Maintenance, Pool Technology",Swimming pool construction and renovation specialist.,"Pool construction, Pool renovation, Pool technology, Pool maintenance",4.7,96,"Pool Builder License, Pool Technology Specialist",false,Showroom,Free pool consultation. 3D pool design available.,"pools,outdoor"
Kellerabdichtung & Feuchtigkeitsschutz Schulz,Abdichtungstraße 9,Frankfurt,89073,Hesse,+49 731 88899900,https://www.kellerabdichtung-schulz-ulm.de,abdichtung@schulz-ulm.de,"€8,000 - €50,000","Ulm, Neu-Ulm, Biberach",Small,12,"Basement Waterproofing, Moisture Protection, Damp Proofing, Foundation Sealing",Basement waterproofing and moisture protection specialist.,"Basement waterproofing, Moisture protection, Damp proofing, Foundation sealing",4.6,78,"Waterproofing Specialist, Building Physics Consultant",false,Water Damage Restoration Referral,Free moisture assessment. Long-term warranty.,"waterproofing,moisture-protection"
Brandschutz & Feuerschutz Becker,Brandschutzstraße 4,Frankfurt,69115,Hesse,+49 6221 11122233,https://www.brandschutz-becker-heidelberg.de,brandschutz@becker-heidelberg.de,"€5,000 - €35,000","Heidelberg, Mannheim, Karlsruhe",Small,10,"Fire Protection, Fire Doors, Fire-Resistant Construction, Fire Safety Inspections",Fire protection specialist for residential and commercial buildings.,"Fire doors, Fire-resistant construction, Fire safety systems, Fire inspections",4.5,62,"Fire Protection Specialist, Building Inspector",false,Insurance Company Referral,Free fire safety consultation.,"fire-protection,safety"
Lichtplanung & Beleuchtung Zimmermann,Lichtstraße 18,Frankfurt,14467,Hesse,+49 331 44455566,https://www.licht-zimmermann-potsdam.de,licht@zimmermann-potsdam.de,"€3,000 - €25,000","Potsdam, Berlin, Brandenburg",Medium,9,"Lighting Design, LED Installation, Smart Lighting, Outdoor Lighting",Lighting design and installation specialist for modern lighting solutions.,"LED lighting, Smart lighting, Outdoor lighting, Lighting design",4.4,54,"Lighting Designer, Smart Home Specialist",false,Interior Designer Referral,Free lighting consultation. 3D lighting visualization.,"lighting,electrical,smart-home"
Küchenmontage Express,Montagestraße 13,Frankfurt,44787,Hesse,+49 234 77788899,https://www.kuechenmontage-express-bochum.de,montage@express-bochum.de,"€2,000 - €15,000","Bochum, Essen, Dortmund",Small,3,"Kitchen Installation, Kitchen Assembly, Appliance Installation, Kitchen Repair",Fast and professional kitchen installation service.,"Kitchen assembly, Appliance installation, Kitchen repair, Quick installation",4.1,27,Kitchen Installer,false,IKEA Referral,Same-week installation available.,kitchen
Badezimmer Renovierung Pro,Badstraße 8,Frankfurt,41061,Hesse,+49 2161 33344455,https://www.bad-renovierung-pro-mg.de,bad@renovierung-pro.de,"€15,000 - €75,000","Mönchengladbach, Krefeld, Viersen",Small,11,"Bathroom Renovation, Complete Bathroom Installation, Bathroom Planning, Tile Work",Complete bathroom renovation service from planning to completion.,"Complete bathroom renovation, Tile work, Plumbing, Bathroom design",4.6,103,"Bathroom Installer, Tile Specialist",false,Local Advertisement,Free bathroom consultation. 3D bathroom design.,"bathroom,renovation,tiling"
Energieberatung & Sanierung Groß,Energiestraße 15,Frankfurt,37073,Hesse,+49 551 66677788,https://www.energie-gross-goettingen.de,energie@gross-goettingen.de,"€20,000 - €120,000","Göttingen, Kassel, Hannover",Medium,17,"Energy Consulting, Energy Modernization, KfW Consulting, Building Energy Assessment",Energy consultant specializing in KfW-eligible renovations and energy modernization.,"Energy consulting, KfW programs, Energy modernization, Building assessment",4.8,156,"Energy Consultant, KfW Advisor, Building Physics",true,Energy Agency,Free energy consultation. KfW funding assistance.,"energy-modernization,consulting"
Altbau Sanierung Meister,Altbaustraße 10,Frankfurt,54290,Hesse,+49 651 22233344,https://www.altbau-sanierung-trier.de,altbau@sanierung-trier.de,"€40,000 - €200,000","Trier, Luxembourg (LUX), Saarbrücken",Large,22,"Historic Building Renovation, Period Building Restoration, Listed Building Work, Energy Modernization",Specialist in historic building renovation and listed building work.,"Historic building renovation, Listed building work, Period restoration, Energy modernization",4.9,201,"Historic Building Specialist, Listed Building Expert, Energy Consultant",true,Heritage Office,Expert in listed building regulations. Free consultation.,"historic-preservation,renovation,energy-modernization"
Barrierefreies Bauen & Umbau,Barrierefreistraße 7,Frankfurt,33602,Hesse,+49 521 88899900,https://www.barrierefrei-bielefeld.de,barrierefrei@bau-bielefeld.de,"€10,000 - €60,000","Bielefeld, Paderborn, Gütersloh",Medium,13,"Accessible Construction, Barrier-Free Renovation, Elevator Installation, Accessibility Consulting",Specialist in barrier-free construction and accessibility solutions.,"Barrier-free renovation, Elevator installation, Accessibility consulting, ADA compliance",4.7,118,"Accessibility Specialist, Elevator Installer",true,Social Services Referral,Free accessibility assessment. Funding assistance available.,"accessibility,renovation"
Schimmel Sanierung & Trocknung,Sanierungsstraße 5,Frankfurt,49074,Hesse,+49 541 11122233,https://www.schimmel-sanierung-osnabrueck.de,schimmel@sanierung-osnabrueck.de,"€5,000 - €40,000","Osnabrück, Münster, Lingen",Small,9,"Mold Remediation, Drying Services, Moisture Damage Repair, Preventive Measures",Mold remediation and moisture damage specialist.,"Mold remediation, Drying services, Moisture damage repair, Preventive measures",4.5,87,"Mold Remediation Specialist, Drying Technician",false,Insurance Referral,24/7 emergency service. Insurance claim assistance.,"mold-remediation,water-damage"
Wärmepumpe & Heizungstechnik,Wärmestraße 12,Frankfurt,79098,Hesse,+49 761 44455566,https://www.waermepumpe-freiburg.de,waerme@pumpe-freiburg.de,"€15,000 - €80,000","Freiburg, Lörrach, Offenburg",Medium,15,"Heat Pump Installation, Heating System Modernization, Underfloor Heating, Heating Consultation",Heat pump and modern heating system specialist.,"Heat pump installation, Underfloor heating, Heating modernization, Energy-efficient heating",4.8,142,"Heat Pump Specialist, Energy Consultant, Heating Installer Master",true,Energy Agency,Free heating consultation. KfW funding assistance.,"heating,hvac,energy-modernization"
Solar & Photovoltaik Installation,Solarstraße 6,Frankfurt,78462,Hesse,+49 7531 77788899,https://www.solar-konstanz.de,solar@photovoltaik-konstanz.de,"€20,000 - €100,000","Konstanz, Singen, Radolfzell",Medium,11,"Solar Panel Installation, Photovoltaic Systems, Battery Storage, Solar Consultation",Solar and photovoltaic system installation specialist.,"Solar panel installation, Battery storage, Solar consultation, Grid connection",4.7,128,"Solar Installer, Energy Consultant, Electrical Master",true,Solar Trade Association,Free solar consultation. Financing options available.,"solar,electrical,energy-modernization"
Betonbohrung & Kernbohrung,Bohrstraße 14,Frankfurt,67059,Hesse,+49 621 33344455,https://www.betonbohrung-ludwigshafen.de,bohrung@beton-ludwigshafen.de,"€1,000 - €8,000","Ludwigshafen, Mannheim, Speyer",Small,6,"Concrete Drilling, Core Drilling, Diamond Drilling, Opening Creation",Specialized concrete drilling and core drilling service.,"Concrete drilling, Core drilling, Diamond drilling, Opening creation",4.2,39,Concrete Drilling Specialist,false,Construction Company Referral,Dust-free drilling. Same-day service.,"concrete,drilling"
Fensterputz & Gebäudereinigung,Reinigungsstraße 9,Frankfurt,26121,Hesse,+49 441 66677788,https://www.fensterputz-oldenburg.de,reinigung@fensterputz-oldenburg.de,"€500 - €5,000","Oldenburg, Bremen, Delmenhorst",Small,4,"Window Cleaning, Building Cleaning, Facade Cleaning, Post-Construction Cleanup",Professional cleaning service for windows and buildings.,"Window cleaning, Facade cleaning, Post-construction cleanup, Building maintenance",4.0,22,Cleaning Service License,false,Property Management Referral,Regular maintenance contracts available.,"cleaning,maintenance"
Gartenhaus & Carport Bau,Gartenhausstraße 11,Frankfurt,03046,Hesse,+49 355 22233344,https://www.gartenhaus-cottbus.de,gartenhaus@bau-cottbus.de,"€3,000 - €20,000","Cottbus, Brandenburg, Spree-Neiße",Small,7,"Garden House Construction, Carport Construction, Shed Building, Outdoor Structures",Garden house and carport construction specialist.,"Garden houses, Carports, Sheds, Outdoor structures",4.3,48,"Carpenter, Construction Specialist",false,Garden Center,Free consultation. Various designs available.,"outdoor,construction,carpentry"
Küchenrückwand & Fliesenspiegel,Fliesenspiegelstraße 8,Frankfurt,07545,Hesse,+49 365 88899900,https://www.fliesenspiegel-gera.de,fliesenspiegel@gera.de,"€1,500 - €10,000","Gera, Jena, Weimar",Small,5,"Kitchen Backsplash, Tile Mirror, Splash Guard Installation, Tile Design",Kitchen backsplash and tile mirror specialist.,"Kitchen backsplash, Tile mirrors, Splash guards, Tile design",4.1,31,Tile Specialist,false,Kitchen Company Referral,Free design consultation.,"kitchen,tiling"
Wandgestaltung & Tapeten,Tapetenstraße 13,Frankfurt,38226,Hesse,+49 5341 11122233,https://www.tapeten-salzgitter.de,tapeten@wandgestaltung-salzgitter.de,"€2,000 - €12,000","Salzgitter, Braunschweig, Wolfenbüttel",Small,6,"Wallpaper Installation, Wall Design, Decorative Finishes, Wall Painting",Wall design and wallpaper installation specialist.,"Wallpaper installation, Wall design, Decorative finishes, Wall painting",4.2,36,"Wallpaper Installer, Painter",false,Interior Design Store,Free design consultation. Large wallpaper selection.,"painting,wallpaper,interior-design"
Bodenverlegung & Laminat,Laminatstraße 7,Frankfurt,45657,Hesse,+49 2361 44455566,https://www.laminat-recklinghausen.de,laminat@bodenverlegung-recklinghausen.de,"€3,000 - €18,000","Recklinghausen, Gelsenkirchen, Marl",Small,8,"Laminate Installation, Floor Installation, Underlay Installation, Floor Preparation",Laminate and floor installation specialist.,"Laminate installation, Floor preparation, Underlay installation, Floor installation",4.3,52,Flooring Installer,false,Flooring Store,Free floor consultation. Quick installation.,flooring
Küchenzeile & Einbauküche,Küchenzeilenstraße 15,Frankfurt,27568,Hesse,+49 471 77788899,https://www.kuechenzeile-bremerhaven.de,kuechenzeile@bremerhaven.de,"€8,000 - €45,000","Bremerhaven, Bremen, Cuxhaven",Small,9,"Fitted Kitchen Installation, Kitchen Unit Installation, Appliance Integration, Kitchen Planning",Fitted kitchen and kitchen unit installation specialist.,"Fitted kitchens, Kitchen units, Appliance integration, Kitchen planning",4.4,64,"Kitchen Installer, Kitchen Planner",false,Furniture Store,Free kitchen planning. Various brands available.,kitchen
Badezimmer Fliesen & Sanitär,Sanitärstraße 10,Frankfurt,24534,Hesse,+49 4321 33344455,https://www.badfliesen-neumuenster.de,badfliesen@sanitaer-neumuenster.de,"€12,000 - €65,000","Neumünster, Kiel, Rendsburg",Small,10,"Bathroom Tiling, Sanitary Installation, Bathroom Renovation, Plumbing",Bathroom tiling and sanitary installation specialist.,"Bathroom tiling, Sanitary installation, Plumbing, Bathroom renovation",4.5,79,"Tile Specialist, Plumber Master",false,Bathroom Store,Free bathroom consultation. Complete bathroom solutions.,"bathroom,tiling,plumbing"
Elektroinstallation & Smart Home,Smartstraße 4,Frankfurt,90762,Hesse,+49 911 66677788,https://www.smart-home-fuerth.de,smart@home-fuerth.de,"€5,000 - €35,000","Fürth, Nuremberg, Erlangen",Medium,8,"Electrical Installation, Smart Home Systems, Home Automation, Electrical Safety",Electrical installation and smart home specialist.,"Smart home systems, Home automation, Electrical installation, Home security",4.6,95,"Master Electrician, Smart Home Specialist",false,Electronics Store,Free smart home consultation. System integration available.,"electrical,smart-home,automation"
Renovierung & Modernisierung Total,Totalstraße 18,Frankfurt,47441,Hesse,+49 2841 22233344,https://www.renovierung-total-moers.de,total@renovierung-moers.de,"€25,000 - €150,000","Moers, Duisburg, Krefeld",Large,20,"Complete Renovation, Modernization, Project Management, Turnkey Solutions",Full-service renovation and modernization company.,"Complete renovation, Project management, Turnkey solutions, Modernization",4.8,178,"Project Manager, General Contractor, Energy Consultant",true,Referral,Free renovation consultation. Project management included.,"renovation,project-management"
